Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,60010009,1,0.9,ppm,10,Oakland,18,75,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/2/2018,AQS,60010009,1,1.2,ppm,14,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/3/2018,AQS,60010009,1,1.4,ppm,16,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/4/2018,AQS,60010009,1,0.7,ppm,8,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/5/2018,AQS,60010009,1,0.6,ppm,7,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/6/2018,AQS,60010009,1,0.7,ppm,8,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/7/2018,AQS,60010009,1,0.7,ppm,8,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/8/2018,AQS,60010009,1,0.7,ppm,8,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/9/2018,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/10/2018,AQS,60010009,1,0.7,ppm,8,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
1/11/2018,AQS,60010009,1,0.9,ppm,10,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
